id_fato,submission_id,created_at,duracao_segundos,clima,origem,versao_form,description,id_user_tipo,user_tipo,id_emocao_atual,emocao_atual,intensidade_atual,id_emocao_maioria,emocao_maioria,intensidade_maioria,id_emocao_ultimo,emocao_ultimo,intensidade_ultimo,id_causa,causa,pulou_causa
105,250f41c7-4287-4c3c-bedf-742ce2c97b4a,2025-10-09 00:21:30.624751+00,146,null,null,v2.0.0,tô ansioso com o trabalho e uma viagem que fareia amanhã,2,Aluno,6,ANSIEDADE,3,6,ANSIEDADE,3,1,ALEGRIA,3,3,TRABALHO,false
104,da613994-0f77-4b87-acdd-2b65ae2a14c7,2025-10-09 00:16:02.999621+00,65,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,5,1,ALEGRIA,5,1,ALEGRIA,5,3,TRABALHO,false
103,a1abf88d-5a8f-4e8e-9088-f3ab87489544,2025-10-09 00:14:51.373412+00,105,null,null,v2.0.0,cin,2,Aluno,2,OTIMISMO,5,3,PAIXÃO,3,3,PAIXÃO,4,4,RELACIONAMENTO,false
102,a50a64ef-a82a-4d90-9526-25c67d682d3d,2025-10-09 00:12:49.457639+00,29,null,null,v2.0.0,Davi Veado,2,Aluno,7,TRISTEZA,5,4,INDIFERENÇA,1,7,TRISTEZA,4,2,ESTUDO,false
101,d706f00b-219a-47aa-8ff4-7cead78f39cf,2025-10-09 00:10:35.513893+00,59,null,null,v2.0.0,muito bem,2,Aluno,2,OTIMISMO,5,2,OTIMISMO,4,6,ANSIEDADE,4,1,FAMILIA,false
100,13ab3168-7af1-4cc5-a4f6-f56e0dc9a229,2025-10-09 00:09:11.970987+00,107,null,null,v2.0.0,no momento estou bem porém os problemas estão aí,2,Aluno,6,ANSIEDADE,3,6,ANSIEDADE,4,4,INDIFERENÇA,2,3,TRABALHO,false
99,fc35be07-92e0-4615-ac54-9dd4cc5ccb8a,2025-10-09 00:07:03.242879+00,63,null,null,v2.0.0,neutro,2,Aluno,4,INDIFERENÇA,3,6,ANSIEDADE,2,6,ANSIEDADE,2,2,ESTUDO,false
98,d282a4ab-dca6-4162-bc94-966c5ab6679e,2025-10-09 00:05:31.161297+00,13,null,null,v2.0.0,mal,2,Aluno,5,RAIVA,0,5,RAIVA,0,5,RAIVA,0,4,RELACIONAMENTO,false
97,ae6293b2-7e97-4e94-8fa2-52064cd352a9,2025-10-09 00:05:04.488195+00,41,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,2,1,ALEGRIA,2,3,PAIXÃO,3,2,ESTUDO,false
96,2e0d988f-049f-40ca-be43-3dd83042b8df,2025-10-09 00:03:59.404264+00,149,null,null,v2.0.0,clicado,2,Aluno,6,ANSIEDADE,4,2,OTIMISMO,0,5,RAIVA,5,1,FAMILIA,false
95,3a42b454-b188-4523-a0ef-1acb1e08ff86,2025-09-25 23:17:20.674762+00,131,null,null,v2.0.0,"estou um pouco cansado, devido a semana de provas",2,Aluno,1,ALEGRIA,4,2,OTIMISMO,4,4,INDIFERENÇA,4,2,ESTUDO,false
94,55133dd8-9081-4b5c-a4d1-5a574716d4bc,2025-09-25 23:12:22.178821+00,57,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,3,2,OTIMISMO,3,2,OTIMISMO,3,1,FAMILIA,false
93,1c7a0383-e0ac-46d0-b065-fdf8db821320,2025-09-25 23:11:10.171667+00,40,null,null,v2.0.0,ansiosa,2,Aluno,5,RAIVA,2,6,ANSIEDADE,2,6,ANSIEDADE,2,2,ESTUDO,false
